G.001;CH-EC2-10-T1
G.526;CA-RF1-30-T2
G.527;CA-RF1-30-T4
G.528;CA-RF1-40-T1
G.529;CA-RF1-40-T4
G.530;CA-RF1-50-T3
G.531;CA-RF1-50-T4
G.532;CA-RF1-40-T2
G.533;CA-RF1-40-T3
G.534;CA-RF1-60-T1
G.535;CA-RF1-60-T2
G.536;CA-RF1-50-T1
G.537;CA-RF1-50-T2
G.538;CA-RF1-20-T1
G.539;CA-RF1-20-T2
G.540;CA-RF1-20-T1
G.541;CA-RF1-20-T2
G.542;CA-RF1-60-T1
G.543;CA-RF1-60-T2
G.544;CA-EC1-20-T1
G.545;CA-EC1-20-T2
G.546;CA-BS L-20-T1
G.547;CA-BS L-30-T1
G.548;CA-BS R-20-T1
G.549;CA-BS R-30-T1
G.550;CA-BS L-20-T2
G.551;CA-BS L-20-T3
G.552;CA-BS R-20-T3
G.553;CA-BS R-20-T4
G.554;CA-BS L-10-T4
G.555;CA-BS L-20-T1
G.556;CA-BS R-10-T4
G.557;CA-BS R-20-T1
G.558;CA-BS L-10-T5
G.559;CA-BS R-10-T6
G.560;CA-BS L-20-T4
G.561;CA-BS R-20-T2
G.562;CA-BS L-20-T2
G.563;CA-BS L-20-T4
G.564;CA-BS L-30-T2
G.565;CA-BS R-20-T2
G.566;CA-BS R-20-T4
G.567;CA-BS R-30-T2
G.570;CA-BS L-10-T4
G.571;CA-BS R-10-T4
G.572;CA-BS L-10-T6
G.573;CA-BS R-10-T5
G.574;CA-UB-20-T1
G.575;CA-UB-20-T2
G.576;CA-UB-20-T3
G.577;CA-UB-20-T4
G.578;CA-BS L-30-T2
G.579;CA-BS L-10-T5
G.580;CA-UB-20-T1
G.581;CA-UB-20-T2
G.582;CA-UB-20-T3
G.583;CA-UB-20-T4
G.584;CA-BS L-10-T1
G.585;CA-BS L-10-T2
G.586;CA-BS L-10-T3
G.587;CA-BS R-10-T1
G.588;CA-BS R-10-T2
G.589;CA-BS R-10-T3
G.590;CA-UB-30-T1
G.591;CA-UB-30-T2
G.592;CA-MB-80-T1
G.593;CA-MB-80-T2
G.594;CA-MB-80-T3
G.595;CA-MB-160-T3
G.596;CA-MB-160-T4
G.597;CA-MB-80-T1
G.598;CA-MB-60-T1
G.599;CA-MB-60-T4
G.600;CA-MB-110-T3
G.601;CA-MB-110-T4
G.602;CA-MB-80-T4
G.603;CA-MB-80-T5
G.604;CA-MB-160-T5
G.605;CA-MB-160-T6
G.606;CA-MB-60-T5
G.607;CA-MB-60-T6
G.608;CA-MB-60-T2
G.609;CA-MB-60-T3
G.610;CA-MB-160-T1
G.611;CA-MB-160-T2
G.612;CA-MB-110-T1
G.613;CA-MB-110-T2
G.614;CA-MB-60-T1
G.615;CA-MB-60-T4
G.616;CA-MB-80-T4
G.617;CA-MB-80-T5
G.618;CA-UB-40-T1
G.619;CA-UB-40-T2
G.620;CA-UB-30-T1
G.621;CA-UB-30-T2
G.622;CA-MB-160-T1
G.623;CA-MB-160-T2
G.624;CA-UB-40-T1
G.625;CA-UB-40-T2
G.626;CA-MB-60-T5
G.627;CA-MB-60-T6
G.628;CA-MB-160-T7
G.629;CA-MB-160-T8
G.640;GW-EC1-20
G.641;GW-EC1-20
